"","INSTNM","POOR_Prop"
"601","College America-Denver",0.803030303030303
"602","Delta Montrose Technical College",0.4
"603","Prince Institute-Rocky Mountains",0.666666666666667
"604","Community College of Denver",0.671604938271605
"605","Lincoln College of Technology-Denver",0.641975308641975
"606","Denver Seminary",NA
"607","Westwood College-Denver North",1
"608","University of Denver",0.224820143884892
"609","Emily Griffith Technical College",0.90625
"610","Fort Lewis College",0.25
"611","Front Range Community College",0.497395833333333
"612","Glenwood Beauty Academy",0.459459459459459
"613","Hair Dynamics Education Center",0.64
"614","Iliff School of Theology",NA
"615","International Salon and Spa Academy",0.6875
"616","Lamar Community College",0.375
"617","Colorado Mesa University",0.321882951653944
"618","Metropolitan State University of Denver",0.373423860329777
"619","Morgan Community College",0.6
"620","Naropa University",0.466666666666667
"621","National American University-Colorado Springs",NA
"622","National American University-Denver",NA
"623","Nazarene Bible College",NA
"624","Northeastern Junior College",0.385964912280702
"625","University of Northern Colorado",0.249242424242424
"626","Otero Junior College",0.5
"627","Everest College-Thornton",0.893617021276596
"628","Pikes Peak Community College",0.588103254769921
"629","Intellitec Medical Institute",0.796875
"630","Pueblo Community College",0.737313432835821
"631","Red Rocks Community College",0.503333333333333
"632","Regis University",0.226666666666667
"633","Rocky Mountain College of Art and Design",0.265822784810127
"634","Montessori Education Center of the Rockies",NA
"635","Colorado State University-Pueblo",0.302052785923754
"636","Pickens Technical College",0.793103448275862
"637","Intellitec College-Colorado Springs",0.701244813278008
"638","Intellitec College-Grand Junction",0.752
"639","Trinidad State Junior College",0.521428571428571
"640","Empire Beauty School-Thornton",0.555555555555556
"641","Western State Colorado University",0.33502538071066
"642","Albertus Magnus College",0.44
"643","Paul Mitchell the School-Danbury",0.45
"644","Asnuntuck Community College",0.425742574257426
"645","Branford Hall Career Institute-Branford Campus",0.801762114537445
"646","Lincoln College of New England-Southington",0.592783505154639
"647","Bridgeport Hospital School of Nursing",0.402985074626866
"648","University of Bridgeport",0.476
"649","Central Connecticut State University",0.197242841993637
"650","Charter Oak State College",NA
"651","Connecticut Center for Massage Therapy-Newington",0.409090909090909
"652","Connecticut College",0.157676348547718
"653","Marinello Schools of Beauty-East Hartford",1
"654","Porter and Chester Institute of Branford",0.451612903225806
"655","University of Connecticut",0.156349206349206
"656","Goodwin College",0.503267973856209
"657","Lincoln Technical Institute-East Windsor",0.521008403361345
"658","Eastern Connecticut State University",0.163768115942029
"659","Fairfield University",0.142602495543672
"660","Northhaven Academy",0.777777777777778
"661","Capital Community College",0.969111969111969
"662","Rensselaer Hartford Graduate Center Inc",NA
"663","Fox Institute of Business-West Hartford",0.872881355932203
"664","Hartford Seminary",NA
"665","University of Hartford",0.197341513292434
"666","Holy Apostles College and Seminary",0.6
"667","Housatonic Community College",0.975225225225225
"668","Sanford-Brown College-Farmington",NA
"669","Lyme Academy College of Fine Arts",0.5
"670","Manchester Community College",0.493303571428571
"671","Naugatuck Valley Community College",0.574509803921569
"672","Middlesex Community College",0.560240963855422
"673","Mitchell College",0.193798449612403
"674","Three Rivers Community College",0.932384341637011
"675","Lincoln Technical Institute-New Britain",0.478723404255319
"676","New England Tractor Trailer Training School of Connecticut",0.537015276145711
"677","University of New Haven",0.136008918617614
"678","Ridley-Lowell Business & Technical Institute-New London",0.75
"679","Norwalk Community College",0.6015625
"680","Northwestern Connecticut Community College",0.391891891891892
"681","Paier College of Art Inc",0.428571428571429
"682","Marinello Schools of Beauty-Meriden",0.841584158415842
"683","Porter and Chester Institute of Stratford",0.601941747572815
"684","Post University",0.735229759299781
"685","Quinebaug Valley Community College",0.551948051948052
"686","Quinnipiac University",0.112227805695142
"687","Sacred Heart University",0.0985221674876847
"688","University of Saint Joseph",0.212328767123288
"689","Gateway Community College",0.631304347826087
"690","St Vincent's College",0.0909090909090909
